Column1;year;category;prize;prize_share;laureate_id;laureate_type;full_name;birth_date;birth_city;birth_country;sex;organization_name;organization_city;organization_country;death_date;death_city;death_country;usa_born_winner;decade;female;age;age_group
453;1975;Economics;The Sveriges Riksbank Prize in Economic Sciences 1975;01.02.2026;686;Individual;Leonid Vitaliyevich Kantorovich;1912-01-19;St. Petersburg;Russian Empire (Russia);Male;Academy of Sciences;Moscow;Union of Soviet Socialist Republics;07.04.1986;Moscow;Union of Soviet Socialist Republics (Russia);ÀŒ∆‹;1970;ÀŒ∆‹;63.0;Adult
454;1975;Economics;The Sveriges Riksbank Prize in Economic Sciences 1975;01.02.2026;687;Individual;Tjalling C. Koopmans;1910-08-28;'s Graveland;Netherlands;Male;Yale University;New Haven, CT;United States of America;26.02.1985;New Haven, CT;United States of America;ÀŒ∆‹;1970;ÀŒ∆‹;65.0;Senior
455;1975;Literature;The Nobel Prize in Literature 1975;01.01.2026;651;Individual;Eugenio Montale;1896-10-12;Genoa;Italy;Male;;;;12.09.1981;Milan;Italy;ÀŒ∆‹;1970;ÀŒ∆‹;79.0;Senior
456;1975;Medicine;The Nobel Prize in Physiology or Medicine 1975;01.03.2026;406;Individual;David Baltimore;1938-03-07;New York, NY;United States of America;Male;Massachusetts Institute of Technology (MIT);Cambridge, MA;United States of America;;;;»—“»Õ¿;1970;ÀŒ∆‹;37.0;Adult
457;1975;Medicine;The Nobel Prize in Physiology or Medicine 1975;01.03.2026;407;Individual;Renato Dulbecco;1914-02-22;Catanzaro;Italy;Male;Imperial Cancer Research Fund Laboratory;London;United Kingdom;19.02.2012;La Jolla, CA;United States of America;ÀŒ∆‹;1970;ÀŒ∆‹;61.0;Adult
458;1975;Medicine;The Nobel Prize in Physiology or Medicine 1975;01.03.2026;408;Individual;Howard Martin Temin;1934-12-10;Philadelphia, PA;United States of America;Male;University of Wisconsin;Madison, WI;United States of America;09.02.1994;Madison, WI;United States of America;»—“»Õ¿;1970;ÀŒ∆‹;41.0;Adult
459;1975;Peace;The Nobel Peace Prize 1975;01.01.2026;534;Individual;Andrei Dmitrievich Sakharov;1921-05-21;Moscow;Russia;Male;;;;14.12.1989;Moscow;Union of Soviet Socialist Republics (Russia);ÀŒ∆‹;1970;ÀŒ∆‹;54.0;Adult
460;1975;Physics;The Nobel Prize in Physics 1975;01.03.2026;102;Individual;Aage Niels Bohr;1922-06-19;Copenhagen;Denmark;Male;Niels Bohr Institute;Copenhagen;Denmark;08.09.2009;Copenhagen;Denmark;ÀŒ∆‹;1970;ÀŒ∆‹;53.0;Adult
461;1975;Physics;The Nobel Prize in Physics 1975;01.03.2026;103;Individual;Ben Roy Mottelson;1926-07-09;Chicago, IL;United States of America;Male;Nordita;Copenhagen;Denmark;;;;»—“»Õ¿;1970;ÀŒ∆‹;49.0;Adult
462;1975;Physics;The Nobel Prize in Physics 1975;01.03.2026;104;Individual;Leo James Rainwater;1917-12-09;Council, ID;United States of America;Male;Columbia University;New York, NY;United States of America;31.03.1986;Yonkers, NY;United States of America;»—“»Õ¿;1970;ÀŒ∆‹;58.0;Adult
463;1976;Chemistry;The Nobel Prize in Chemistry 1976;01.01.2026;249;Individual;William N. Lipscomb;1919-12-09;Cleveland, OH;United States of America;Male;Harvard University;Cambridge, MA;United States of America;14.04.2011;Cambridge, MA;United States of America;»—“»Õ¿;1970;ÀŒ∆‹;57.0;Adult
464;1976;Economics;The Sveriges Riksbank Prize in Economic Sciences 1976;01.01.2026;688;Individual;Milton Friedman;1912-07-31;Brooklyn, NY;United States of America;Male;University of Chicago;Chicago, IL;United States of America;16.11.2006;San Francisco, CA;United States of America;»—“»Õ¿;1970;ÀŒ∆‹;64.0;Adult
465;1976;Literature;The Nobel Prize in Literature 1976;01.01.2026;652;Individual;Saul Bellow;1915-06-10;Montreal;Canada;Male;;;;05.04.2005;Brookline, MA;United States of America;ÀŒ∆‹;1970;ÀŒ∆‹;61.0;Adult
466;1976;Medicine;The Nobel Prize in Physiology or Medicine 1976;01.02.2026;409;Individual;Baruch S. Blumberg;1925-07-28;New York, NY;United States of America;Male;The Institute for Cancer Research;Philadelphia, PA;United States of America;05.04.2011;Moffett Field, CA;United States of America;»—“»Õ¿;1970;ÀŒ∆‹;51.0;Adult
467;1976;Medicine;The Nobel Prize in Physiology or Medicine 1976;01.02.2026;410;Individual;D. Carleton Gajdusek;1923-09-09;Yonkers, NY;United States of America;Male;National Institutes of Health;Bethesda, MD;United States of America;12.12.2008;Troms?;Norway;»—“»Õ¿;1970;ÀŒ∆‹;53.0;Adult
468;1976;Peace;The Nobel Peace Prize 1976;01.02.2026;535;Individual;Betty Williams;1943-05-22;Belfast;Northern Ireland;Female;;;;;;;ÀŒ∆‹;1970;»—“»Õ¿;33.0;Adult
469;1976;Peace;The Nobel Peace Prize 1976;01.02.2026;536;Individual;Mairead Corrigan;1944-01-27;Belfast;Northern Ireland;Female;;;;;;;ÀŒ∆‹;1970;»—“»Õ¿;32.0;Adult
470;1976;Physics;The Nobel Prize in Physics 1976;01.02.2026;105;Individual;Burton Richter;1931-03-22;Brooklyn, NY;United States of America;Male;Stanford Linear Accelerator Center;Stanford, CA;United States of America;;;;»—“»Õ¿;1970;ÀŒ∆‹;45.0;Adult
471;1976;Physics;The Nobel Prize in Physics 1976;01.02.2026;106;Individual;Samuel Chao Chung Ting;1936-01-27;Ann Arbor, MI;United States of America;Male;Massachusetts Institute of Technology (MIT);Cambridge, MA;United States of America;;;;»—“»Õ¿;1970;ÀŒ∆‹;40.0;Adult
472;1977;Chemistry;The Nobel Prize in Chemistry 1977;01.01.2026;250;Individual;Ilya Prigogine;1917-01-25;Moscow;Russia;Male;Universit? Libre de Bruxelles;Brussels;Belgium;28.05.2003;Brussels;Belgium;ÀŒ∆‹;1970;ÀŒ∆‹;60.0;Adult
473;1977;Economics;The Sveriges Riksbank Prize in Economic Sciences 1977;01.02.2026;689;Individual;Bertil Ohlin;1899-04-23;Klippan;Sweden;Male;Stockholm School of Economics;Stockholm;Sweden;03.08.1979;V?l?dalen;Sweden;ÀŒ∆‹;1970;ÀŒ∆‹;78.0;Senior
474;1977;Economics;The Sveriges Riksbank Prize in Economic Sciences 1977;01.02.2026;690;Individual;James E. Meade;1907-06-23;Swanage;United Kingdom;Male;University of Cambridge;Cambridge;United Kingdom;22.12.1995;Cambridge;United Kingdom;ÀŒ∆‹;1970;ÀŒ∆‹;70.0;Senior
475;1977;Literature;The Nobel Prize in Literature 1977;01.01.2026;653;Individual;Vicente Aleixandre;1898-04-26;Sevilla;Spain;Male;;;;14.12.1984;Madrid;Spain;ÀŒ∆‹;1970;ÀŒ∆‹;79.0;Senior
476;1977;Medicine;The Nobel Prize in Physiology or Medicine 1977;01.04.2026;411;Individual;Roger Guillemin;1924-01-11;Dijon;France;Male;The Salk Institute;San Diego, CA;United States of America;;;;ÀŒ∆‹;1970;ÀŒ∆‹;53.0;Adult
477;1977;Medicine;The Nobel Prize in Physiology or Medicine 1977;01.04.2026;412;Individual;Andrew V. Schally;1926-11-30;Wilno (Vilnius);Poland (Lithuania);Male;Veterans Administration Hospital;New Orleans, LA;United States of America;;;;ÀŒ∆‹;1970;ÀŒ∆‹;51.0;Adult
478;1977;Medicine;The Nobel Prize in Physiology or Medicine 1977;01.02.2026;413;Individual;Rosalyn Yalow;1921-07-19;New York, NY;United States of America;Female;Veterans Administration Hospital;Bronx, NY;United States of America;30.05.2011;New York, NY;United States of America;»—“»Õ¿;1970;»—“»Õ¿;56.0;Adult
479;1977;Peace;The Nobel Peace Prize 1977;01.01.2026;537;Organization;Amnesty International;;;;;;;;;;;ÀŒ∆‹;1970;ÀŒ∆‹;;Senior
480;1977;Physics;The Nobel Prize in Physics 1977;01.03.2026;107;Individual;Philip Warren Anderson;1923-12-13;Indianapolis, IN;United States of America;Male;Bell Telephone Laboratories;Murray Hill, NJ;United States of America;;;;»—“»Õ¿;1970;ÀŒ∆‹;54.0;Adult
481;1977;Physics;The Nobel Prize in Physics 1977;01.03.2026;108;Individual;Sir Nevill Francis Mott;1905-09-30;Leeds;United Kingdom;Male;University of Cambridge;Cambridge;United Kingdom;08.08.1996;Milton Keynes;United Kingdom;ÀŒ∆‹;1970;ÀŒ∆‹;72.0;Senior
482;1977;Physics;The Nobel Prize in Physics 1977;01.03.2026;109;Individual;John Hasbrouck van Vleck;1899-03-13;Middletown, CT;United States of America;Male;Harvard University;Cambridge, MA;United States of America;27.10.1980;Cambridge, MA;United States of America;»—“»Õ¿;1970;ÀŒ∆‹;78.0;Senior
483;1978;Chemistry;The Nobel Prize in Chemistry 1978;01.01.2026;251;Individual;Peter D. Mitchell;1920-09-29;Mitcham;United Kingdom;Male;Glynn Research Laboratories;Bodmin;United Kingdom;10.04.1992;Bodmin;United Kingdom;ÀŒ∆‹;1970;ÀŒ∆‹;58.0;Adult
484;1978;Economics;The Sveriges Riksbank Prize in Economic Sciences 1978;01.01.2026;691;Individual;Herbert A. Simon;1916-06-15;Milwaukee, WI;United States of America;Male;Carnegie Mellon University;Pittsburgh, PA;United States of America;09.02.2001;Pittsburgh, PA;United States of America;»—“»Õ¿;1970;ÀŒ∆‹;62.0;Adult
485;1978;Literature;The Nobel Prize in Literature 1978;01.01.2026;654;Individual;Isaac Bashevis Singer;1904-07-14;Leoncin;Russian Empire (Poland);Male;;;;24.07.1991;Surfside, FL;United States of America;ÀŒ∆‹;1970;ÀŒ∆‹;74.0;Senior
486;1978;Medicine;The Nobel Prize in Physiology or Medicine 1978;01.03.2026;414;Individual;Werner Arber;1929-06-03;Gr?nichen;Switzerland;Male;Biozentrum der Universit?t;Basel;Switzerland;;;;ÀŒ∆‹;1970;ÀŒ∆‹;49.0;Adult
487;1978;Medicine;The Nobel Prize in Physiology or Medicine 1978;01.03.2026;415;Individual;Daniel Nathans;1928-10-30;Wilmington, DE;United States of America;Male;Johns Hopkins University School of Medicine;Baltimore, MD;United States of America;16.11.1999;Baltimore, MD;United States of America;»—“»Õ¿;1970;ÀŒ∆‹;50.0;Adult
488;1978;Medicine;The Nobel Prize in Physiology or Medicine 1978;01.03.2026;416;Individual;Hamilton O. Smith;1931-08-23;New York, NY;United States of America;Male;Johns Hopkins University School of Medicine;Baltimore, MD;United States of America;;;;»—“»Õ¿;1970;ÀŒ∆‹;47.0;Adult
489;1978;Peace;The Nobel Peace Prize 1978;01.02.2026;538;Individual;Mohamed Anwar al-Sadat;1918-12-25;Mit Abu al-Kawm;Egypt;Male;;;;06.10.1981;Cairo;Egypt;ÀŒ∆‹;1970;ÀŒ∆‹;60.0;Adult
490;1978;Peace;The Nobel Peace Prize 1978;01.02.2026;539;Individual;Menachem Begin;1913-08-16;Brest Litovsk;Russian Empire (Belarus);Male;;;;09.03.1992;Tel Aviv;Israel;ÀŒ∆‹;1970;ÀŒ∆‹;65.0;Senior
491;1978;Physics;The Nobel Prize in Physics 1978;01.02.2026;110;Individual;Pyotr Leonidovich Kapitsa;1894-07-09;Kronshtadt;Russian Empire (Russia);Male;Academy of Sciences;Moscow;Union of Soviet Socialist Republics;08.04.1984;Moscow;Union of Soviet Socialist Republics (Russia);ÀŒ∆‹;1970;ÀŒ∆‹;84.0;Senior
492;1978;Physics;The Nobel Prize in Physics 1978;01.04.2026;111;Individual;Arno Allan Penzias;1933-04-26;Munich;Germany;Male;Bell Laboratories;Holmdel, NJ;United States of America;;;;ÀŒ∆‹;1970;ÀŒ∆‹;45.0;Adult
493;1978;Physics;The Nobel Prize in Physics 1978;01.04.2026;112;Individual;Robert Woodrow Wilson;1936-01-10;Houston, TX;United States of America;Male;Bell Laboratories;Holmdel, NJ;United States of America;;;;»—“»Õ¿;1970;ÀŒ∆‹;42.0;Adult
494;1979;Chemistry;The Nobel Prize in Chemistry 1979;01.02.2026;252;Individual;Herbert C. Brown;1912-05-22;London;United Kingdom;Male;Purdue University;West Lafayette, IN;United States of America;19.12.2004;Lafayette, IN;United States of America;ÀŒ∆‹;1970;ÀŒ∆‹;67.0;Senior
495;1979;Chemistry;The Nobel Prize in Chemistry 1979;01.02.2026;253;Individual;Georg Wittig;1897-06-16;Berlin;Germany;Male;University of Heidelberg;Heidelberg;Federal Republic of Germany;26.08.1987;Heidelberg;West Germany (Germany);ÀŒ∆‹;1970;ÀŒ∆‹;82.0;Senior
496;1979;Economics;The Sveriges Riksbank Prize in Economic Sciences 1979;01.02.2026;692;Individual;Theodore W. Schultz;1902-04-30;Arlington, SD;United States of America;Male;University of Chicago;Chicago, IL;United States of America;26.02.1998;Evanston, IL;United States of America;»—“»Õ¿;1970;ÀŒ∆‹;77.0;Senior
497;1979;Economics;The Sveriges Riksbank Prize in Economic Sciences 1979;01.02.2026;693;Individual;Sir Arthur Lewis;1915-01-23;Castries;British West Indies (Saint Lucia);Male;Princeton University;Princeton, NJ;United States of America;15.06.1991;Bridgetown;Barbados;ÀŒ∆‹;1970;ÀŒ∆‹;64.0;Adult
498;1979;Literature;The Nobel Prize in Literature 1979;01.01.2026;655;Individual;Odysseus Elytis;1911-11-02;Ir?klion;Crete (Greece);Male;;;;18.03.1996;Athens;Greece;ÀŒ∆‹;1970;ÀŒ∆‹;68.0;Senior
499;1979;Medicine;The Nobel Prize in Physiology or Medicine 1979;01.02.2026;417;Individual;Allan M. Cormack;1924-02-23;Johannesburg;South Africa;Male;Tufts University;Medford, MA;United States of America;07.05.1998;Winchester, MA;United States of America;ÀŒ∆‹;1970;ÀŒ∆‹;55.0;Adult
500;1979;Medicine;The Nobel Prize in Physiology or Medicine 1979;01.02.2026;418;Individual;Godfrey N. Hounsfield;1919-08-28;Newark;United Kingdom;Male;Central Research Laboratories, EMI;London;United Kingdom;12.08.2004;Kingston upon Thames;United Kingdom;ÀŒ∆‹;1970;ÀŒ∆‹;60.0;Adult
501;1979;Peace;The Nobel Peace Prize 1979;01.01.2026;540;Organization;Mother Teresa;1910-08-26;Uskup (Skopje);Ottoman Empire (Republic of Macedonia);Female;;;;05.09.1997;Calcutta;India;ÀŒ∆‹;1970;»—“»Õ¿;69.0;Senior
502;1979;Physics;The Nobel Prize in Physics 1979;01.03.2026;113;Individual;Sheldon Lee Glashow;1932-12-05;New York, NY;United States of America;Male;Harvard University, Lyman Laboratory;Cambridge, MA;United States of America;;;;»—“»Õ¿;1970;ÀŒ∆‹;47.0;Adult
503;1979;Physics;The Nobel Prize in Physics 1979;01.03.2026;114;Individual;Abdus Salam;1926-01-29;"Jhang Maghi&#257;na";India (Pakistan);Male;International Centre for Theoretical Physics;Trieste;Italy;21.11.1996;Oxford;United Kingdom;ÀŒ∆‹;1970;ÀŒ∆‹;53.0;Adult
504;1979;Physics;The Nobel Prize in Physics 1979;01.03.2026;115;Individual;Steven Weinberg;1933-05-03;New York, NY;United States of America;Male;Harvard University;Cambridge, MA;United States of America;;;;»—“»Õ¿;1970;ÀŒ∆‹;46.0;Adult
505;1980;Chemistry;The Nobel Prize in Chemistry 1980;01.04.2026;222;Individual;Frederick Sanger;1918-08-13;Rendcombe;United Kingdom;Male;MRC Laboratory of Molecular Biology;Cambridge;United Kingdom;19.11.2013;Cambridge;United Kingdom;ÀŒ∆‹;1980;ÀŒ∆‹;62.0;Adult
506;1980;Chemistry;The Nobel Prize in Chemistry 1980;01.02.2026;254;Individual;Paul Berg;1926-06-30;New York, NY;United States of America;Male;Stanford University;Stanford, CA;United States of America;;;;»—“»Õ¿;1980;ÀŒ∆‹;54.0;Adult
507;1980;Chemistry;The Nobel Prize in Chemistry 1980;01.04.2026;255;Individual;Walter Gilbert;1932-03-21;Boston, MA;United States of America;Male;Harvard University, Biological Laboratories;Cambridge, MA;United States of America;;;;»—“»Õ¿;1980;ÀŒ∆‹;48.0;Adult
508;1980;Economics;The Sveriges Riksbank Prize in Economic Sciences 1980;01.01.2026;694;Individual;Lawrence R. Klein;1920-09-14;Omaha, NE;United States of America;Male;University of Pennsylvania;Philadelphia, PA;United States of America;20.10.2013;Gladwyne, PA;United States of America;»—“»Õ¿;1980;ÀŒ∆‹;60.0;Adult
509;1980;Literature;The Nobel Prize in Literature 1980;01.01.2026;657;Individual;Czeslaw Milosz;1911-06-30;"&#346;eteniai";Russian Empire (Lithuania);Male;;;;14.08.2004;Krak?w;Poland;ÀŒ∆‹;1980;ÀŒ∆‹;69.0;Senior
510;1980;Medicine;The Nobel Prize in Physiology or Medicine 1980;01.03.2026;419;Individual;Baruj Benacerraf;1920-10-29;Caracas;Venezuela;Male;Harvard Medical School;Boston, MA;United States of America;02.08.2011;Boston, MA;United States of America;ÀŒ∆‹;1980;ÀŒ∆‹;60.0;Adult
511;1980;Medicine;The Nobel Prize in Physiology or Medicine 1980;01.03.2026;420;Individual;Jean Dausset;1916-10-19;Toulouse;France;Male;Universit? de Paris, Laboratoire Immuno-H?matologie;Paris;France;06.06.2009;Palma, Majorca;Spain;ÀŒ∆‹;1980;ÀŒ∆‹;64.0;Adult
512;1980;Medicine;The Nobel Prize in Physiology or Medicine 1980;01.03.2026;421;Individual;George D. Snell;1903-12-19;Bradford, MA;United States of America;Male;Jackson Laboratory;Bar Harbor, ME;United States of America;06.06.1996;Bar Harbor, ME;United States of America;»—“»Õ¿;1980;ÀŒ∆‹;77.0;Senior
513;1980;Peace;The Nobel Peace Prize 1980;01.01.2026;541;Individual;Adolfo P?rez Esquivel;1931-11-26;Buenos Aires;Argentina;Male;;;;;;;ÀŒ∆‹;1980;ÀŒ∆‹;49.0;Adult
514;1980;Physics;The Nobel Prize in Physics 1980;01.02.2026;116;Individual;James Watson Cronin;1931-09-29;Chicago, IL;United States of America;Male;University of Chicago;Chicago, IL;United States of America;25.08.2016;St. Paul, MN;United States of America;»—“»Õ¿;1980;ÀŒ∆‹;49.0;Adult
515;1980;Physics;The Nobel Prize in Physics 1980;01.02.2026;117;Individual;Val Logsdon Fitch;1923-03-10;Merriman, NE;United States of America;Male;Princeton University;Princeton, NJ;United States of America;05.02.2015;Princeton, NJ;United States of America;»—“»Õ¿;1980;ÀŒ∆‹;57.0;Adult
516;1981;Chemistry;The Nobel Prize in Chemistry 1981;01.02.2026;257;Individual;Kenichi Fukui;1918-10-04;Nara;Japan;Male;Kyoto University;Kyoto;Japan;09.01.1998;Kyoto;Japan;ÀŒ∆‹;1980;ÀŒ∆‹;63.0;Adult
517;1981;Chemistry;The Nobel Prize in Chemistry 1981;01.02.2026;258;Individual;Roald Hoffmann;1937-07-18;Zloczov;Poland (Ukraine);Male;Cornell University;Ithaca, NY;United States of America;;;;ÀŒ∆‹;1980;ÀŒ∆‹;44.0;Adult
518;1981;Economics;The Sveriges Riksbank Prize in Economic Sciences 1981;01.01.2026;695;Individual;James Tobin;1918-03-05;Champaign, IL;United States of America;Male;Yale University;New Haven, CT;United States of America;11.03.2002;New Haven, CT;United States of America;»—“»Õ¿;1980;ÀŒ∆‹;63.0;Adult
519;1981;Literature;The Nobel Prize in Literature 1981;01.01.2026;658;Individual;Elias Canetti;1905-07-25;Ruse;Bulgaria;Male;;;;14.08.1994;Zurich;Switzerland;ÀŒ∆‹;1980;ÀŒ∆‹;76.0;Senior
520;1981;Medicine;The Nobel Prize in Physiology or Medicine 1981;01.02.2026;422;Individual;Roger W. Sperry;1913-08-20;Hartford, CT;United States of America;Male;California Institute of Technology (Caltech);Pasadena, CA;United States of America;17.04.1994;Pasadena, CA;United States of America;»—“»Õ¿;1980;ÀŒ∆‹;68.0;Senior
521;1981;Medicine;The Nobel Prize in Physiology or Medicine 1981;01.04.2026;423;Individual;David H. Hubel;1926-02-27;Windsor, ON;Canada;Male;Harvard Medical School;Boston, MA;United States of America;22.09.2013;Lincoln, MA;United States of America;ÀŒ∆‹;1980;ÀŒ∆‹;55.0;Adult
522;1981;Medicine;The Nobel Prize in Physiology or Medicine 1981;01.04.2026;424;Individual;Torsten N. Wiesel;1924-06-03;Uppsala;Sweden;Male;Harvard Medical School;Boston, MA;United States of America;;;;ÀŒ∆‹;1980;ÀŒ∆‹;57.0;Adult
523;1981;Peace;The Nobel Peace Prize 1981;01.01.2026;515;Organization;Office of the United Nations High Commissioner for Refugees (UNHCR);;;;;;;;;;;ÀŒ∆‹;1980;ÀŒ∆‹;;Senior
524;1981;Physics;The Nobel Prize in Physics 1981;01.04.2026;118;Individual;Nicolaas Bloembergen;1920-03-11;Dordrecht;Netherlands;Male;Harvard University;Cambridge, MA;United States of America;;;;ÀŒ∆‹;1980;ÀŒ∆‹;61.0;Adult
525;1981;Physics;The Nobel Prize in Physics 1981;01.04.2026;119;Individual;Arthur Leonard Schawlow;1921-05-05;Mount Verno, NY;United States of America;Male;Stanford University;Stanford, CA;United States of America;28.04.1999;Palo Alto, CA;United States of America;»—“»Õ¿;1980;ÀŒ∆‹;60.0;Adult
526;1981;Physics;The Nobel Prize in Physics 1981;01.02.2026;120;Individual;Kai M. Siegbahn;1918-04-20;Lund;Sweden;Male;Uppsala University;Uppsala;Sweden;20.07.2007;?ngelholm;Sweden;ÀŒ∆‹;1980;ÀŒ∆‹;63.0;Adult
527;1982;Chemistry;The Nobel Prize in Chemistry 1982;01.01.2026;259;Individual;Aaron Klug;1926-08-11;Zelvas;Lithuania;Male;MRC Laboratory of Molecular Biology;Cambridge;United Kingdom;;;;ÀŒ∆‹;1980;ÀŒ∆‹;56.0;Adult
528;1982;Economics;The Sveriges Riksbank Prize in Economic Sciences 1982;01.01.2026;696;Individual;George J. Stigler;1911-01-17;Renton, WA;United States of America;Male;University of Chicago;Chicago, IL;United States of America;01.12.1991;Chicago, IL;United States of America;»—“»Õ¿;1980;ÀŒ∆‹;71.0;Senior
529;1982;Literature;The Nobel Prize in Literature 1982;01.01.2026;659;Individual;Gabriel Garc?a M?rquez;1927-03-06;Aracataca;Colombia;Male;;;;17.04.2014;Mexico City;Mexico;ÀŒ∆‹;1980;ÀŒ∆‹;55.0;Adult
530;1982;Medicine;The Nobel Prize in Physiology or Medicine 1982;01.03.2026;425;Individual;Sune K. Bergstr?m;1916-01-10;Stockholm;Sweden;Male;Karolinska Institutet;Stockholm;Sweden;15.08.2004;Stockholm;Sweden;ÀŒ∆‹;1980;ÀŒ∆‹;66.0;Senior
531;1982;Medicine;The Nobel Prize in Physiology or Medicine 1982;01.03.2026;426;Individual;Bengt I. Samuelsson;1934-05-21;Halmstad;Sweden;Male;Karolinska Institutet;Stockholm;Sweden;;;;ÀŒ∆‹;1980;ÀŒ∆‹;48.0;Adult
532;1982;Medicine;The Nobel Prize in Physiology or Medicine 1982;01.03.2026;427;Individual;John R. Vane;1927-03-29;Tardebigg;United Kingdom;Male;The Wellcome Research Laboratories;Beckenham;United Kingdom;19.11.2004;Farnborough;United Kingdom;ÀŒ∆‹;1980;ÀŒ∆‹;55.0;Adult
533;1982;Peace;The Nobel Peace Prize 1982;01.02.2026;543;Individual;Alva Myrdal;1902-01-31;Uppsala;Sweden;Female;;;;01.02.1986;Stockholm;Sweden;ÀŒ∆‹;1980;»—“»Õ¿;80.0;Senior
534;1982;Peace;The Nobel Peace Prize 1982;01.02.2026;544;Individual;Alfonso Garc?a Robles;1911-03-20;Zamora;Mexico;Male;;;;02.09.1991;Mexico City;Mexico;ÀŒ∆‹;1980;ÀŒ∆‹;71.0;Senior
535;1982;Physics;The Nobel Prize in Physics 1982;01.01.2026;121;Individual;Kenneth G. Wilson;1936-06-08;Waltham, MA;United States of America;Male;Cornell University;Ithaca, NY;United States of America;15.06.2013;Saco, ME;United States of America;»—“»Õ¿;1980;ÀŒ∆‹;46.0;Adult
536;1983;Chemistry;The Nobel Prize in Chemistry 1983;01.01.2026;260;Individual;Henry Taube;1915-11-30;Neudorf;Canada;Male;Stanford University;Stanford, CA;United States of America;16.11.2005;Stanford, CA;United States of America;ÀŒ∆‹;1980;ÀŒ∆‹;68.0;Senior
537;1983;Economics;The Sveriges Riksbank Prize in Economic Sciences 1983;01.01.2026;697;Individual;Gerard Debreu;1921-07-04;Calais;France;Male;University of California;Berkeley, CA;United States of America;31.12.2004;Paris;France;ÀŒ∆‹;1980;ÀŒ∆‹;62.0;Adult
538;1983;Literature;The Nobel Prize in Literature 1983;01.01.2026;660;Individual;William Golding;1911-09-19;St. Columb Minor;United Kingdom;Male;;;;19.06.1993;Perranarworthal;United Kingdom;ÀŒ∆‹;1980;ÀŒ∆‹;72.0;Senior
539;1983;Medicine;The Nobel Prize in Physiology or Medicine 1983;01.01.2026;428;Individual;Barbara McClintock;1902-06-16;Hartford, CT;United States of America;Female;Cold Spring Harbor Laboratory;Cold Spring Harbor, NY;United States of America;02.09.1992;Huntington, NY;United States of America;»—“»Õ¿;1980;»—“»Õ¿;81.0;Senior
540;1983;Peace;The Nobel Peace Prize 1983;01.01.2026;545;Individual;Lech Walesa;1943-09-29;Popowo;Poland;Male;;;;;;;ÀŒ∆‹;1980;ÀŒ∆‹;40.0;Adult
541;1983;Physics;The Nobel Prize in Physics 1983;01.02.2026;122;Individual;Subramanyan Chandrasekhar;1910-10-19;Lahore;India (Pakistan);Male;University of Chicago;Chicago, IL;United States of America;21.08.1995;Chicago, IL;United States of America;ÀŒ∆‹;1980;ÀŒ∆‹;73.0;Senior
542;1983;Physics;The Nobel Prize in Physics 1983;01.02.2026;123;Individual;William Alfred Fowler;1911-08-09;Pittsburgh, PA;United States of America;Male;California Institute of Technology (Caltech);Pasadena, CA;United States of America;14.03.1995;Pasadena, CA;United States of America;»—“»Õ¿;1980;ÀŒ∆‹;72.0;Senior
543;1984;Chemistry;The Nobel Prize in Chemistry 1984;01.01.2026;261;Individual;Robert Bruce Merrifield;1921-07-15;Fort Worth, TX;United States of America;Male;Rockefeller University;New York, NY;United States of America;14.05.2006;Cresskill, NJ;United States of America;»—“»Õ¿;1980;ÀŒ∆‹;63.0;Adult
544;1984;Economics;The Sveriges Riksbank Prize in Economic Sciences 1984;01.01.2026;698;Individual;Richard Stone;1913-08-30;London;United Kingdom;Male;University of Cambridge;Cambridge;United Kingdom;06.12.1991;Cambridge;United Kingdom;ÀŒ∆‹;1980;ÀŒ∆‹;71.0;Senior
545;1984;Literature;The Nobel Prize in Literature 1984;01.01.2026;661;Individual;Jaroslav Seifert;1901-09-23;Prague;Austria-Hungary (Czech Republic);Male;;;;10.01.1986;Prague;Czechoslovakia;ÀŒ∆‹;1980;ÀŒ∆‹;83.0;Senior
546;1984;Medicine;The Nobel Prize in Physiology or Medicine 1984;01.03.2026;429;Individual;Niels K. Jerne;1911-12-23;London;United Kingdom;Male;Basel Institute for Immunology;Basel;Switzerland;07.10.1994;Castillon-du-Gard;France;ÀŒ∆‹;1980;ÀŒ∆‹;73.0;Senior
547;1984;Medicine;The Nobel Prize in Physiology or Medicine 1984;01.03.2026;430;Individual;Georges J.F. K?hler;1946-04-17;Munich;Germany;Male;Basel Institute for Immunology;Basel;Switzerland;01.03.1995;Freiburg im Breisgau;Germany;ÀŒ∆‹;1980;ÀŒ∆‹;38.0;Adult
548;1984;Medicine;The Nobel Prize in Physiology or Medicine 1984;01.03.2026;431;Individual;C?sar Milstein;1927-10-08;Bahia Blanca;Argentina;Male;MRC Laboratory of Molecular Biology;Cambridge;United Kingdom;24.03.2002;Cambridge;United Kingdom;ÀŒ∆‹;1980;ÀŒ∆‹;57.0;Adult
549;1984;Peace;The Nobel Peace Prize 1984;01.01.2026;546;Individual;Desmond Mpilo Tutu;1931-10-07;Klerksdorp;South Africa;Male;;;;;;;ÀŒ∆‹;1980;ÀŒ∆‹;53.0;Adult
550;1984;Physics;The Nobel Prize in Physics 1984;01.02.2026;124;Individual;Carlo Rubbia;1934-03-31;Gorizia;Italy;Male;CERN;Geneva;Switzerland;;Geneva;Switzerland;ÀŒ∆‹;1980;ÀŒ∆‹;50.0;Adult
